id,object,field,oldvalue,newvalue
006j000000B0s1tAAB,"Opportunity","ownerid","005j000000C0bhQAAR","005j000000C2uaiAAB"
006j000000B0s3uAAB,"Opportunity","ownerid","005j000000C0bhQAAR","005j000000C2uaiAAB"
006j000000B0rykAAB,"Opportunity","ownerid","005j000000C0bhQAAR","005j000000C2uaiAAB"
006j000000B0rynAAB,"Opportunity","ownerid","005j000000C0bhQAAR","005j000000C2uaiAAB"
006j000000B0ryqAAB,"Opportunity","ownerid","005j000000C0bhQAAR","005j000000C2uaiAAB"
006j000000B0ryrAAB,"Opportunity","ownerid","005j000000C0bhQAAR","005j000000C2uaiAAB"
006j000000B0rytAAB,"Opportunity","ownerid","005j000000C0bhQAAR","005j000000C2uaiAAB"
006j000000B0ryuAAB,"Opportunity","ownerid","005j000000C0bhQAAR","005j000000C2uaiAAB"
006j000000B0ryvAAB,"Opportunity","ownerid","005j000000C0bhQAAR","005j000000C2uaiAAB"
006j000000B0ryxAAB,"Opportunity","ownerid","005j000000C0bhQAAR","005j000000C2uaiAAB"
006j000000B0ryyAAB,"Opportunity","ownerid","005j000000C0bhQAAR","005j000000C2uaiAAB"
006j000000B0ryzAAB,"Opportunity","ownerid","005j000000C0bhQAAR","005j000000C2uaiAAB"
006j000000B0rz1AAB,"Opportunity","ownerid","005j000000C0bhQAAR","005j000000C2uaiAAB"
006j000000B0rz2AAB,"Opportunity","ownerid","005j000000C0bhQAAR","005j000000C2uaiAAB"
006j000000B0rz3AAB,"Opportunity","ownerid","005j000000C0bhQAAR","005j000000C2uaiAAB"
006j000000B0rz7AAB,"Opportunity","ownerid","005j000000C0bhQAAR","005j000000C2uaiAAB"
006j000000B0rz9AAB,"Opportunity","ownerid","005j000000C0bhQAAR","005j000000C2uaiAAB"
006j000000B0rzCAAR,"Opportunity","ownerid","005j000000C0bhQAAR","005j000000C2uaiAAB"
006j000000B0rzDAAR,"Opportunity","ownerid","005j000000C0bhQAAR","005j000000C2uaiAAB"
006j000000B0rzGAAR,"Opportunity","ownerid","005j000000C0bhQAAR","005j000000C2uaiAAB"
006j000000B0rzHAAR,"Opportunity","ownerid","005j000000C0bhQAAR","005j000000C2uaiAAB"
006j000000B0rzIAAR,"Opportunity","ownerid","005j000000C0bhQAAR","005j000000C2uaiAAB"
006j000000B0rzKAAR,"Opportunity","ownerid","005j000000C0bhQAAR","005j000000C2uaiAAB"
006j000000B0rzLAAR,"Opportunity","ownerid","005j000000C0bhQAAR","005j000000C2uaiAAB"
006j000000B0rzMAAR,"Opportunity","ownerid","005j000000C0bhQAAR","005j000000C2uaiAAB"
006j000000B0rzOAAR,"Opportunity","ownerid","005j000000C0bhQAAR","005j000000C2uaiAAB"
006j000000B0rzPAAR,"Opportunity","ownerid","005j000000C0bhQAAR","005j000000C2uaiAAB"
006j000000B0rzRAAR,"Opportunity","ownerid","005j000000C0bhQAAR","005j000000C2uaiAAB"
006j000000B0rzSAAR,"Opportunity","ownerid","005j000000C0bhQAAR","005j000000C2uaiAAB"
006j000000B0rzTAAR,"Opportunity","ownerid","005j000000C0bhQAAR","005j000000C2uaiAAB"
