id,object,field,oldvalue,newvalue
00Tj000000CO8DGEA1,"Task","ownerid","005j000000C0bhIAAR","005j000000C2uYDAAZ"
00Tj000000CO8DJEA1,"Task","ownerid","005j000000C0bhIAAR","005j000000C2uYDAAZ"
00Tj000000CO8DLEA1,"Task","ownerid","005j000000C0bhIAAR","005j000000C2uYDAAZ"
00Tj000000CO8DNEA1,"Task","ownerid","005j000000C0bhIAAR","005j000000C2uYDAAZ"
00Tj000000CO8DOEA1,"Task","ownerid","005j000000C0bhIAAR","005j000000C2uYDAAZ"
00Tj000000CO8DPEA1,"Task","ownerid","005j000000C0bhIAAR","005j000000C2uYDAAZ"
00Tj000000CO8CwEAL,"Task","ownerid","005j000000C0bhIAAR","005j000000C2uYDAAZ"
00Tj000000CO8DWEA1,"Task","ownerid","005j000000C0bhIAAR","005j000000C2uYDAAZ"
00Tj000000CO8DXEA1,"Task","ownerid","005j000000C0bhIAAR","005j000000C2uYDAAZ"
00Tj000000CO8DHEA1,"Task","ownerid","005j000000C0bhIAAR","005j000000C2uYDAAZ"
00Tj000000CVKKaEAP,"Task","ownerid","005j000000C0bhIAAR","005j000000C2uYDAAZ"
00Tj000000CVGTrEAP,"Task","ownerid","005j000000C0bhIAAR","005j000000C2uYDAAZ"
00Tj000000CYLhWEAX,"Task","ownerid","005j000000C0bhIAAR","005j000000C2uYDAAZ"
00Tj000000DIXq7EAH,"Task","ownerid","005j000000C0bhIAAR","005j000000C2uYDAAZ"
00Tj000000Dt3ZsEAJ,"Task","ownerid","005j000000C0bhIAAR","005j000000C2uYDAAZ"
00Tj000000DrVviEAF,"Task","ownerid","005j000000C0bhIAAR","005j000000C2uYDAAZ"
