id,object,field,oldvalue,newvalue
006j000000A2wKvAAJ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wKzAAJ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wL6AAJ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wL7AAJ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wL8AAJ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wEuAAJ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wEyAAJ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wElAAJ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wFSAAZ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wFMAAZ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wFGAAZ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wFWAAZ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wFXAAZ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wFyAAJ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wFzAAJ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wFgAAJ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wGBAAZ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wGmAAJ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wGnAAJ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wGoAAJ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wGrAAJ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wGsAAJ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wGZAAZ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wGaAAJ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wGbAAJ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wGzAAJ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wH3AAJ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wH5AAJ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wH8AAJ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wHGAAZ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wHHAAZ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wHLAAZ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wHSAAZ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wLDAAZ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wLGAAZ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wLHAAZ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wLUAAZ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wHeAAJ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wHtAAJ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wHuAAJ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wHxAAJ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wI4AAJ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wICAAZ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wIHAAZ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wIKAAZ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wIUAAZ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wIWAAZ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wIkAAJ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wIqAAJ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wIyAAJ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wIzAAJ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wNuAAJ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wNyAAJ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wO3AAJ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wJzAAJ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wK5AAJ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wKBAAZ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wKCAAZ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wKJAAZ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wKNAAZ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wMpAAJ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wMtAAJ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wKTAAZ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wKWAAZ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wKXAAZ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wKYAAZ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wKdAAJ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wKeAAJ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wKjAAJ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wKoAAJ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wLfAAJ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wLiAAJ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
