id,object,field,oldvalue,newvalue
001j000000Js79gAAB,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000O0gDXAAZ,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000KQ03fAAD,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000O0fsgAAB,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000NjSdKAAV,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JqR7dAAF,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000O0ffhAAB,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000O0gJzAAJ,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000O0g70AAB,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000Js7N4AAJ,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000Js7N9AAJ,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ53AAF,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ54AAF,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ5AAAV,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ5KAAV,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQL2AAN,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQLFAA3,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQLLAA3,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQE5AAN,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQEOAA3,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQEVAA3,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQEhAAN,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQExAAN,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQEyAAN,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQFBAA3,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQFMAA3,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQFQAA3,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQFXAA3,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQFqAAN,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQB5AAN,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQB6AAN,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQBMAA3,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcRytAAF,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQBpAAN,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQBsAAN,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQBuAAN,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ64AAF,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ6EAAV,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ6GAAV,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ6LAAV,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ6OAAV,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ6cAAF,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQD2AAN,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQD7AAN,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQDFAA3,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQDQAA3,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQIcAAN,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQImAAN,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQIzAAN,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQJIAA3,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ8GAAV,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQJYAA3,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQJmAAN,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ7dAAF,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ7eAAF,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ8vAAF,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ8xAAF,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ9IAAV,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ9NAAV,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ9mAAF,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ9nAAF,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ9yAAF,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQA0AAN,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQA1AAN,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQA2AAN,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQA4AAN,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQA5AAN,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQA6AAN,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ3pAAF,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ1RAAV,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ1eAAF,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ1hAAF,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ1vAAF,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ1xAAF,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ3AAAV,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQGQAA3,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQGSAA3,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQGYAA3,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQGaAAN,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQGhAAN,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQGpAAN,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQHMAA3,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQHVAA3,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQHaAAN,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQIAAA3,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQIGAA3,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000OCfm8AAD,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000OCf4BAAT,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000OCnZeAAL,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000OCjOCAA1,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000OCw5DAAT,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000OCmaLAAT,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000OCpXNAA1,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000OCoCHAA1,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000OCkLsAAL,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000OCuU5AAL,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000OCT0TAAX,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000OCwZhAAL,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000OCUZUAA5,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000OCvGxAAL,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000OChxyAAD,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000OCeW4AAL,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000OCghEAAT,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
