id,object,field,oldvalue,newvalue
001j000000Js7GPAAZ,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQL5AAN,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQLOAA3,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQELAA3,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQBLAA3,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQBVAA3,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQC7AAN,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQC8AAN,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQDPAA3,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQJJAA3,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ8KAAV,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ8DAAV,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ9RAAV,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ1uAAF,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ24AAF,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
