id,object,field,oldvalue,newvalue
001j000000KzoaZAAR,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000Kzqh7AAB,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000Kzqh8AAB,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqhCAAR,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqhFAAR,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqhGAAR,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqhHAAR,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqhIAAR,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqhJAAR,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqhKAAR,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqhMAAR,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqhNAAR,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqaGAAR,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqaHAAR,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqaIAAR,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqaJAAR,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqaLAAR,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqaMAAR,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqaOAAR,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqaQAAR,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqaSAAR,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqaTAAR,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqabAAB,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqacAAB,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqaeAAB,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqafAAB,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqagAAB,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqamAAB,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqasAAB,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqavAAB,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000Kzqb0AAB,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000Kzqb1AAB,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000Kzqb6AAB,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000Kzqb9AAB,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqbAAAR,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqbCAAR,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqbFAAR,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
