id,object,field,oldvalue,newvalue
001j000000Kzqh9AAB,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqaWAAR,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqaXAAR,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqaYAAR,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqaiAAB,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000Kzqb5AAB,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqbBAAR,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqbDAAR,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqbEAAR,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqbJAAR,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqbcAAB,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqbkAAB,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqblAAB,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000Kzqc0AAB,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000Kzqc8AAB,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqcYAAR,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqcZAAR,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqcfAAB,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqcjAAB,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000Kzqd0AAB,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqdEAAR,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqdOAAR,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqgyAAB,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqX9AAJ,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqXCAAZ,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqXHAAZ,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqXRAAZ,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqY6AAJ,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqY8AAJ,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqYBAAZ,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqYCAAZ,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqYmAAJ,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqZ2AAJ,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqYeAAJ,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqZRAAZ,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqZSAAZ,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000Kzqa8AAB,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqaCAAR,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqfdAAB,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqfpAAB,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000Kzqg6AAB,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqgAAAR,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqgKAAR,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqggAAB,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqeOAAR,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqeQAAR,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqemAAB,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqesAAB,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
