id,object,field,oldvalue,newvalue
001j000000KzqbKAAR,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqbjAAB,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqcaAAB,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqcbAAB,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqdAAAR,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqdCAAR,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqdFAAR,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqdHAAR,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqdQAAR,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqXTAAZ,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqY5AAJ,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqYDAAZ,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqYKAAZ,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqYPAAZ,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqZ1AAJ,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqZQAAZ,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqZqAAJ,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000Kzqa9AAB,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqaAAAR,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqgEAAR,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000KzqgNAAR,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
001j000000Kzqe5AAB,"Account","Concierge_Venue_Alias__c","nanand","afasulo"
