id,object,field,oldvalue,newvalue
001j000000KO5IhAAL,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000L1QyxAAF,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000Js79VAAR,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000L2rMsAAJ,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000L2rWJAAZ,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000MWy7uAAD,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000L2rPXAAZ,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000Nyo1oAAB,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JqeI7AAJ,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JqeI8AAJ,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000Js72bAAB,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000Js72cAAB,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000Js72dAAB,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000Js72eAAB,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000Js72fAAB,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000Js72gAAB,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000Js72hAAB,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000Js72jAAB,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000Js72kAAB,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000Js72lAAB,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000Js72nAAB,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000Js7NEAAZ,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQKJAA3,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQKLAA3,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQKPAA3,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQKRAA3,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQKiAAN,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQKjAAN,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQKkAAN,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQKqAAN,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQKrAAN,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ8eAAF,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ4cAAF,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ4fAAF,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ4gAAF,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ4iAAF,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ4jAAF,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ4mAAF,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ4oAAF,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ4sAAF,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ4tAAF,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ4vAAF,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ4xAAF,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
