id,object,field,oldvalue,newvalue
001j000000JcQDgAAN,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQEGAA3,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQBUAA3,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQC5AAN,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQCvAAN,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQD4AAN,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQIwAAN,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ7gAAF,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ85AAF,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ8zAAF,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQAIAA3,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQAUAA3,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQAwAAN,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ1TAAV,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ1WAAV,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ27AAF,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ3RAAV,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ3SAAV,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQHbAAN,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQHhAAN,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
