id,object,field,oldvalue,newvalue
001j000000JqeI9AAJ,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000Js7N7AAJ,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000Js7NCAAZ,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000Js7NDAAZ,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQKHAA3,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQKmAAN,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQKoAAN,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ8YAAV,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ52AAF,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQLKAA3,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQDZAA3,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQEIAA3,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQEQAA3,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQEwAAN,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQFAAA3,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQBDAA3,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQBcAAN,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQBeAAN,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ68AAF,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ6DAAV,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ6JAAV,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ6YAAV,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQDBAA3,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQDTAA3,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQJBAA3,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ8HAAV,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQJeAAN,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ7XAAV,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ7pAAF,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ97AAF,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQA8AAN,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQANAA3,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQATAA3,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ2BAAV,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ2JAAV,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ1cAAF,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ1nAAF,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ1qAAF,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQ3JAAV,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQGVAA3,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQGWAA3,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQGiAAN,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQGqAAN,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQGxAAN,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
001j000000JcQHNAA3,"Account","Concierge_Venue_Alias__c","lschneid","nanand"
