id,object,field,oldvalue,newvalue
006j000000B0wG4AAJ,"Opportunity","ownerid","005j000000C0bhRAAR","005j000000C2PweAAF"
006j000000B0wG8AAJ,"Opportunity","ownerid","005j000000C0bhRAAR","005j000000C2PweAAF"
006j000000B0wQIAAZ,"Opportunity","ownerid","005j000000C0bhRAAR","005j000000C2PweAAF"
006j000000B0wJGAAZ,"Opportunity","ownerid","005j000000C0bhRAAR","005j000000C2PweAAF"
006j000000B0wJHAAZ,"Opportunity","ownerid","005j000000C0bhRAAR","005j000000C2PweAAF"
006j000000B0wJIAAZ,"Opportunity","ownerid","005j000000C0bhRAAR","005j000000C2PweAAF"
006j000000B0wJLAAZ,"Opportunity","ownerid","005j000000C0bhRAAR","005j000000C2PweAAF"
006j000000B0wJMAAZ,"Opportunity","ownerid","005j000000C0bhRAAR","005j000000C2PweAAF"
006j000000B0wJOAAZ,"Opportunity","ownerid","005j000000C0bhRAAR","005j000000C2PweAAF"
006j000000B0wJPAAZ,"Opportunity","ownerid","005j000000C0bhRAAR","005j000000C2PweAAF"
006j000000B0wJQAAZ,"Opportunity","ownerid","005j000000C0bhRAAR","005j000000C2PweAAF"
006j000000B0wJSAAZ,"Opportunity","ownerid","005j000000C0bhRAAR","005j000000C2PweAAF"
006j000000B0wJTAAZ,"Opportunity","ownerid","005j000000C0bhRAAR","005j000000C2PweAAF"
006j000000B0wJUAAZ,"Opportunity","ownerid","005j000000C0bhRAAR","005j000000C2PweAAF"
006j000000B0wJXAAZ,"Opportunity","ownerid","005j000000C0bhRAAR","005j000000C2PweAAF"
006j000000B0wJYAAZ,"Opportunity","ownerid","005j000000C0bhRAAR","005j000000C2PweAAF"
006j000000B0wJaAAJ,"Opportunity","ownerid","005j000000C0bhRAAR","005j000000C2PweAAF"
006j000000B0wJbAAJ,"Opportunity","ownerid","005j000000C0bhRAAR","005j000000C2PweAAF"
006j000000B0wJcAAJ,"Opportunity","ownerid","005j000000C0bhRAAR","005j000000C2PweAAF"
006j000000B0wJdAAJ,"Opportunity","ownerid","005j000000C0bhRAAR","005j000000C2PweAAF"
006j000000B0wJeAAJ,"Opportunity","ownerid","005j000000C0bhRAAR","005j000000C2PweAAF"
006j000000B0wJfAAJ,"Opportunity","ownerid","005j000000C0bhRAAR","005j000000C2PweAAF"
006j000000B0wJgAAJ,"Opportunity","ownerid","005j000000C0bhRAAR","005j000000C2PweAAF"
006j000000B0wJiAAJ,"Opportunity","ownerid","005j000000C0bhRAAR","005j000000C2PweAAF"
006j000000B0wJjAAJ,"Opportunity","ownerid","005j000000C0bhRAAR","005j000000C2PweAAF"
006j000000B0wJkAAJ,"Opportunity","ownerid","005j000000C0bhRAAR","005j000000C2PweAAF"
006j000000B0wJlAAJ,"Opportunity","ownerid","005j000000C0bhRAAR","005j000000C2PweAAF"
006j000000B0wJmAAJ,"Opportunity","ownerid","005j000000C0bhRAAR","005j000000C2PweAAF"
006j000000B0wJoAAJ,"Opportunity","ownerid","005j000000C0bhRAAR","005j000000C2PweAAF"
006j000000B0wJpAAJ,"Opportunity","ownerid","005j000000C0bhRAAR","005j000000C2PweAAF"
006j000000B0wJqAAJ,"Opportunity","ownerid","005j000000C0bhRAAR","005j000000C2PweAAF"
