id,object,field,oldvalue,newvalue
001j000000KzqhBAAR,"Account","Concierge_Venue_Alias__c","nanand","kkaltrid"
001j000000KzqhDAAR,"Account","Concierge_Venue_Alias__c","nanand","kkaltrid"
001j000000KzqhLAAR,"Account","Concierge_Venue_Alias__c","nanand","kkaltrid"
001j000000KzqaVAAR,"Account","Concierge_Venue_Alias__c","nanand","kkaltrid"
001j000000KzqaZAAR,"Account","Concierge_Venue_Alias__c","nanand","kkaltrid"
001j000000KzqahAAB,"Account","Concierge_Venue_Alias__c","nanand","kkaltrid"
001j000000KzqajAAB,"Account","Concierge_Venue_Alias__c","nanand","kkaltrid"
001j000000KzqalAAB,"Account","Concierge_Venue_Alias__c","nanand","kkaltrid"
001j000000KzqauAAB,"Account","Concierge_Venue_Alias__c","nanand","kkaltrid"
001j000000KzqawAAB,"Account","Concierge_Venue_Alias__c","nanand","kkaltrid"
001j000000KzqaxAAB,"Account","Concierge_Venue_Alias__c","nanand","kkaltrid"
001j000000KzqayAAB,"Account","Concierge_Venue_Alias__c","nanand","kkaltrid"
001j000000Kzqb2AAB,"Account","Concierge_Venue_Alias__c","nanand","kkaltrid"
001j000000Kzqb3AAB,"Account","Concierge_Venue_Alias__c","nanand","kkaltrid"
001j000000Kzqb7AAB,"Account","Concierge_Venue_Alias__c","nanand","kkaltrid"
001j000000KzqbHAAR,"Account","Concierge_Venue_Alias__c","nanand","kkaltrid"
001j000000KzqbMAAR,"Account","Concierge_Venue_Alias__c","nanand","kkaltrid"
001j000000KzqbNAAR,"Account","Concierge_Venue_Alias__c","nanand","kkaltrid"
001j000000KzqbaAAB,"Account","Concierge_Venue_Alias__c","nanand","kkaltrid"
001j000000KzqbbAAB,"Account","Concierge_Venue_Alias__c","nanand","kkaltrid"
001j000000KzqbdAAB,"Account","Concierge_Venue_Alias__c","nanand","kkaltrid"
001j000000KzqbeAAB,"Account","Concierge_Venue_Alias__c","nanand","kkaltrid"
001j000000KzqbfAAB,"Account","Concierge_Venue_Alias__c","nanand","kkaltrid"
001j000000KzqbiAAB,"Account","Concierge_Venue_Alias__c","nanand","kkaltrid"
001j000000Kzqc1AAB,"Account","Concierge_Venue_Alias__c","nanand","kkaltrid"
001j000000Kzqc3AAB,"Account","Concierge_Venue_Alias__c","nanand","kkaltrid"
001j000000Kzqc4AAB,"Account","Concierge_Venue_Alias__c","nanand","kkaltrid"
001j000000Kzqc5AAB,"Account","Concierge_Venue_Alias__c","nanand","kkaltrid"
001j000000KzqcCAAR,"Account","Concierge_Venue_Alias__c","nanand","kkaltrid"
001j000000KzqcIAAR,"Account","Concierge_Venue_Alias__c","nanand","kkaltrid"
001j000000KzqcJAAR,"Account","Concierge_Venue_Alias__c","nanand","kkaltrid"
001j000000KzqcKAAR,"Account","Concierge_Venue_Alias__c","nanand","kkaltrid"
