id,object,field,oldvalue,newvalue
006j000000HuzXJAAZ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000Hv0fRAAR,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000HuqnXAAR,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000HuwYbAAJ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000HuqxcAAB,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000HuwVXAAZ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000HuwcpAAB,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000HuwUUAAZ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000Huz8iAAB,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000Huz7QAAR,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000HuqBTAAZ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000HuvDAAAZ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000HuxN7AAJ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000HuvYtAAJ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000Hv00TAAR,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000HuvcjAAB,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000Hx40BAAR,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000HyPI9AAN,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000IOJ8bAAH,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000IPuTZAA1,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000IPsAfAAL,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000IQcbHAAT,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wFTAAZ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wO1AAJ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wMfAAJ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wKpAAJ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wM6AAJ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wJ8AAJ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wOIAAZ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wOSAAZ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wPpAAJ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
006j000000A2wQHAAZ,"Opportunity","ownerid","005j000000C0bhPAAR","005j000000C2ucZAAR"
