id,object,field,oldvalue,newvalue
001j000000KzoZvAAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoZxAAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoaEAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoaGAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoaTAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoaaAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoakAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoaqAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000Kzob4AAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzobIAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzobMAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzobSAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzobdAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzobeAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoZKAAZ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoZOAAZ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoZSAAZ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoZXAAZ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoZdAAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoYVAAZ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoYoAAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoYpAAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoZ0AAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoZ1AAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoblAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzobqAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzobsAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzobuAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzobxAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000Kzoc0AAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000Kzoc3AAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzocBAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzocQAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzocjAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoclAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzocnAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzocoAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzocqAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzocxAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000Kzod9AAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzodEAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzodIAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzodYAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzodzAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000Kzoe8AAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoeDAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoeJAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoeKAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoeMAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoeXAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoeYAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoeaAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoefAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoegAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoenAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoeSAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzohoAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzohpAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzohqAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzohrAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000NQ9cZAAT,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000MtXv0AAF,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoVOAAZ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoVQAAZ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoVUAAZ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoVXAAZ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoVGAAZ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoVHAAZ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoVJAAZ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoVLAAZ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoVMAAZ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoVqAAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoVrAAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoVwAAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoW5AAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoW6AAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoVZAAZ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoVaAAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoVbAAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoVcAAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoVdAAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoVeAAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoVmAAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoWCAAZ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoXRAAZ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoXVAAZ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoXZAAZ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoY6AAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoY8AAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoYHAAZ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoYJAAZ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoewAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoexAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoXkAAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzofWAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzofZAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
