id,object,field,oldvalue,newvalue
001j000000KzoZyAAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000Kzoa2AAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000Kzoa4AAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoaDAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoaMAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoaNAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoaQAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoaWAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoacAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoadAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoaeAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoagAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoajAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoalAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoamAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoanAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoatAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoavAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000Kzob2AAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoaoAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzobEAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzobGAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzobHAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzobNAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzobRAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzobUAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzobVAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzobWAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzobbAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoZ3AAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoZ4AAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoZ5AAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoZ9AAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoZGAAZ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoZIAAZ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoZJAAZ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoZLAAZ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoZNAAZ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoZfAAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoZgAAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoZiAAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoZjAAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoZkAAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoYRAAZ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoYSAAZ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoYaAAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoYfAAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoYnAAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoYqAAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoYwAAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoYzAAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000MWG4TAAX,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzobfAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzobgAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzobhAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzobjAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzobtAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000Kzoc1AAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000Kzoc2AAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000Kzoc6AAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzocHAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzocIAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzocJAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzocLAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzocSAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzocdAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzocfAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
