id,object,field,oldvalue,newvalue
001j000000KzoZoAAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoZrAAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoaCAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoaFAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoaRAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoaSAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoaVAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000Kzob1AAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzobcAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoZ6AAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoZQAAZ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoZhAAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzqbKAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzqbjAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzqcaAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzqcbAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzqdAAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzqdCAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzqdFAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzqdHAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzqdQAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzqXTAAZ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzqY5AAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzqYDAAZ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzqYKAAZ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzqYPAAZ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzqZ1AAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzqZQAAZ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzqZqAAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000Kzqa9AAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzqaAAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzqgEAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzqgNAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000Kzqe5AAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000MvAs8AAF,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzobzAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzocAAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzocMAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzocNAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzocXAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzocYAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzocwAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzocyAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000Kzod3AAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000Kzod4AAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoduAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoedAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzqTeAAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzqTCAAZ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoVsAAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoW2AAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoVjAAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoVlAAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoWBAAZ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoWdAAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoY9AAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoYCAAZ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoYEAAZ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoXcAAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzofYAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoWgAAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoWjAAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoX9AAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoXHAAZ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzofEAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzofGAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoWLAAZ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoWXAAZ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoX0AAJ,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzohCAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzofrAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzofsAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzoftAAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000Kzog5AAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000Kzog6AAB,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzogJAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000KzogYAAR,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000OHospAAD,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
001j000000PrEphAAF,"Account","Concierge_Venue_Alias__c","afasulo","kkaltrid"
