id,object,field,oldvalue,newvalue
001j000000MUAXNAA5,"Account","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
001j000000MJpnpAAD,"Account","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
001j000000L0dWSAAZ,"Account","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
001j000000L1RlhAAF,"Account","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
001j000000YUXphAAH,"Account","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
001j000000YUanLAAT,"Account","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
001j000000YUb7CAAT,"Account","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
001j000000YVbzpAAD,"Account","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
001j000000YEYGIAA5,"Account","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
001j000000YUY9iAAH,"Account","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
001j000000YUajYAAT,"Account","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
001j000000YUcu4AAD,"Account","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
001j000000YUX1VAAX,"Account","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
001j000000YUbxDAAT,"Account","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
001j000000YUatNAAT,"Account","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
001j000000YTdmZAAT,"Account","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
001j000000YU3INAA1,"Account","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
001j000000YUXCJAA5,"Account","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
001j000000YUbuxAAD,"Account","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
001j000000YUod3AAD,"Account","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
001j000000YUbWsAAL,"Account","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
001j000000YUpc4AAD,"Account","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
001j000000YUXcEAAX,"Account","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
001j000000L1QWgAAN,"Account","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
001j000000ML1MHAA1,"Account","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
001j000000KPzoqAAD,"Account","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
