id,object,field,oldvalue,newvalue
00Tj000000I5fE7EAJ,"Task","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
00Tj000000KyE4MEAV,"Task","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
00Tj000000M1LPyEAN,"Task","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
00Tj000000Q9C5eEAF,"Task","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
00Tj000000Kbi3hEAB,"Task","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
00Tj000000EikRPEAZ,"Task","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
00Tj000000FyAcnEAF,"Task","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
00Tj000000GONR8EAP,"Task","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
00Tj000000GQBovEAH,"Task","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
00Tj000000Iar2TEAR,"Task","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
00Tj000000IvuWtEAJ,"Task","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
00Tj000000IxlpwEAB,"Task","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
00Tj000000BxrzdEAB,"Task","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
00Tj000000M1RSREA3,"Task","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
