id,object,field,oldvalue,newvalue
003j000000FY8qfAAD,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000FYFflAAH,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000GWopNAAT,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000FY4O9AAL,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000GWgqJAAT,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000FYw9TAAT,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000FaId6AAF,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000FYvGrAAL,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000GX9WvAAL,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000HOSThAAP,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000HzbvOAAR,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000HzTvNAAV,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000HPEJ5AAP,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000HQ7jbAAD,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000FZ06TAAT,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000FYtzyAAD,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000FaW3TAAV,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000UVgsnAAD,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000UVh0LAAT,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000EAFKTAA5,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000GXUPAAA5,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000IGhfzAAD,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000HNdgUAAT,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000GWuUQAA1,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000EACA2AAP,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000E9p6cAAB,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000GWGu0AAH,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000IGkGEAA1,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000IGfkIAAT,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000IGisUAAT,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000HNhCgAAL,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000HORh6AAH,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000HPxxkAAD,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000HzTibAAF,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000IXjDvAAL,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000IGeo1AAD,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000IGrq4AAD,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000IXAT2AAP,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000IGej6AAD,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000EALSEAA5,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000IH6POAA1,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000EAIehAAH,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000Ifmh9AAB,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000IeV1ZAAV,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000IXNItAAP,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000IfmgfAAB,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000IhmP0AAJ,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000YwkrHAAR,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000K5Fc7AAF,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000IhvCnAAJ,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000K6iKYAAZ,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000LMV0nAAH,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000LOiHVAA1,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000K4F0GAAV,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000Kq1H0AAJ,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000MzLCrAAN,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000Mz3B1AAJ,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000PVcnzAAD,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000MbGI2AAN,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000PWJLIAA5,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000LNmoDAAT,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000MDEUxAAP,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000LOvuMAAT,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000MbI38AAF,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000Mba0LAAR,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000Qtq15AAB,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000PVco9AAD,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000KrdWDAAZ,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000MdIhVAAV,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000LMk1tAAD,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
003j000000MzxiKAAR,"Contact","OwnerId","005j000000C0bhNAAR","005j000000COGWtAAP"
