id,object,field,oldvalue,newvalue
006j000000A2tbhAAB,"Opportunity","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
006j000000A2tTuAAJ,"Opportunity","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
006j000000A2tTvAAJ,"Opportunity","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
006j000000B0qRFAAZ,"Opportunity","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
006j000000B2i2SAAR,"Opportunity","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
006j000000B4oWXAAZ,"Opportunity","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
006j000000B4oUlAAJ,"Opportunity","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
006j000000Bhb37AAB,"Opportunity","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
006j000000Bif9tAAB,"Opportunity","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
006j000000A2tcGAAR,"Opportunity","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
006j000000B0qSqAAJ,"Opportunity","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
006j000000A2tu1AAB,"Opportunity","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
006j000000A2tu3AAB,"Opportunity","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
006j000000A2tu5AAB,"Opportunity","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
006j000000A2tu8AAB,"Opportunity","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
006j000000A2tuDAAR,"Opportunity","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
006j000000A2tuQAAR,"Opportunity","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
006j000000A2tuSAAR,"Opportunity","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
006j000000A2tuTAAR,"Opportunity","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
006j000000A2tuUAAR,"Opportunity","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
