id,object,field,oldvalue,newvalue
003j000000aVcT7AAK,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000aBapuAAC,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000G9NsnAAF,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000Yt1wWAAR,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000FY3FYAA1,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000FYpo3AAD,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000G9S3dAAF,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000G9SNgAAN,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000GWwflAAD,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000G8z1zAAB,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000E92pOAAR,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000HNWvlAAH,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000YuXgqAAF,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000GA3BxAAL,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000HNLqqAAH,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000IHXOsAAP,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000Hz7E5AAJ,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000GBUpLAAX,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000GWAoQAAX,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000E99kAAAR,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000HPJpYAAX,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000GWwdkAAD,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000GXrsFAAT,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000IczYjAAJ,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000IHWRIAA5,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000YuXimAAF,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000YvcgLAAR,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000IYE3lAAH,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000IXbRsAAL,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000K7GqjAAF,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000K5HxKAAV,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000K6CsgAAF,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000K6AskAAF,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000K6xDKAAZ,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000aSHwhAAG,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000ZlnnvAAB,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000K6BYgAAN,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000IhzfBAAR,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000LOi7LAAT,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000LOiieAAD,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000LMTHMAA5,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000K7N24AAF,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000K6ExTAAV,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000KVp2tAAD,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000bJCAKAA4,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000ZoDAzAAN,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000K6BgNAAV,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000K5RmHAAV,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000c9YKfAAM,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000bbRcCAAU,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000KVmyiAAD,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000aBY2gAAG,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000MzHWOAA3,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000PVw02AAD,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000PVw0cAAD,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000KVrMtAAL,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000MdBJpAAN,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000LOlroAAD,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000LNmFWAA1,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000ME14TAAT,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000MEDsRAAX,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000MDUO6AAP,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000LMkKlAAL,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000Md85jAAB,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000azaKHAAY,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000dBFmNAAW,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000MEGxsAAH,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000bVpVYAA0,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000beAWBAA2,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000aVVbvAAG,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000LOnWXAA1,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000LOuYoAAL,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000LOhmcAAD,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000PVultAAD,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000LOtqUAAT,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000MbQsQAAV,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000LP48SAAT,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000LOoEGAA1,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000OYU0iAAH,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000PWyKyAAL,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000LOvSTAA1,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000MzOG9AAN,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000OXc4HAAT,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000MEDktAAH,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000MzMl3AAF,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000PUV6RAAX,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000MzNn4AAF,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000PUxfaAAD,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000OFHv9AAH,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000OCZoPAAX,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000R6S03AAF,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000ODJXcAAP,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000PTksOAAT,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000OF5InAAL,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000ODfj4AAD,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000OahndAAB,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000Qs3OzAAJ,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000PX1hQAAT,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000beHrSAAU,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000aUrIMAA0,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000aBcInAAK,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000RQtXuAAL,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000UEdUNAA1,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000RjvCwAAJ,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000SI8XOAA1,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000Sh2vHAAR,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000UoINvAAN,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000Tbp1EAAR,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000UldAKAAZ,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000Sh6QKAAZ,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000VAJBoAAP,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000Tdt9OAAR,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000Um5VoAAJ,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000VDKXdAAP,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000TeLwNAAV,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000UnW0oAAF,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000VAIDHAA5,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000UljU9AAJ,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000VAII0AAP,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000Um22FAAR,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000Unl2MAAR,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000VAFHcAAP,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000VuD7RAAV,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000Vap3XAAR,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000WP99lAAD,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000VbSCMAA3,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000Vd7R7AAJ,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000VuITjAAN,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000VcwxlAAB,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000Vd0EjAAJ,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000VtgZ0AAJ,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000Wz9W8AAJ,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000VaYibAAF,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000WOTilAAH,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000VcsOvAAJ,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000VdUGWAA3,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000VtgFqAAJ,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000VbUlTAAV,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000WyCdgAAF,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000Vd5RFAAZ,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000Wwz8AAAR,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000Wxo95AAB,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000WOT4CAAX,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000VtNV1AAN,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000VcQE9AAN,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000WPUd2AAH,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000VcbpAAAR,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000WOSgIAAX,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000Wz1PpAAJ,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000c9DPfAAM,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000bHp2hAAC,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000WxlDbAAJ,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000aBXJuAAO,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000c9kf6AAA,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000bddVjAAI,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000Wvlv9AAB,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000bHC8wAAG,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000bHSyqAAG,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000aBdjUAAS,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000cvK4EAAU,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000aBdKqAAK,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000aSIbvAAG,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000cvKdLAAU,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000dLDl3AAG,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000aVNkIAAW,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000aUtWBAA0,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000Yd3GrAAJ,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000Y39gaAAB,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000c9YVTAA2,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000cvOWXAA2,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000aVdc8AAC,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000beQVJAA2,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000cBofkAAC,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000aUtpAAAS,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000Y4CYhAAN,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000bdeEQAAY,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000aTfykAAC,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000cvQ2mAAE,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000beLXyAAM,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000aUnjfAAC,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000c9Y2gAAE,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000aUshJAAS,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000c9YsVAAU,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000Yd4drAAB,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
003j000000YcNTCAA3,"Contact","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
