id,object,field,oldvalue,newvalue
001j000000YhaShAAJ,"Account","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
001j000000YD6rMAAT,"Account","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
001j000000YD72HAAT,"Account","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
001j000000YhcsnAAB,"Account","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
001j000000YfXNCAA3,"Account","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
001j000000YiuTtAAJ,"Account","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
001j000000MW1YxAAL,"Account","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
001j000000NP2BqAAL,"Account","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
001j000000NOrTWAA1,"Account","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
001j000000ZDh7XAAT,"Account","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
001j000000aXOFBAA4,"Account","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
001j000000ZCmSCAA1,"Account","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
001j000000ZDi56AAD,"Account","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
001j000000Zu511AAB,"Account","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
001j000000NknkNAAR,"Account","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
001j000000O0WJNAA3,"Account","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
001j000000Zu4qXAAR,"Account","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
001j000000OscouAAB,"Account","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
001j000000OsaynAAB,"Account","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
001j000000PpjzXAAR,"Account","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
001j000000OsdU9AAJ,"Account","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
001j000000Oshf1AAB,"Account","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
001j000000Zu4TOAAZ,"Account","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
001j000000OsYQMAA3,"Account","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
001j000000Osj0nAAB,"Account","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
001j000000OsY38AAF,"Account","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
001j000000PiYDRAA3,"Account","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
001j000000PiYM4AAN,"Account","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
001j000000PidYtAAJ,"Account","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
001j000000S3HHcAAN,"Account","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
001j000000TwW6GAAV,"Account","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
001j000000ViuNfAAJ,"Account","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
001j000000aXXslAAG,"Account","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
001j000000VkNpMAAV,"Account","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
001j000000WIfzqAAD,"Account","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
001j000000WITJuAAP,"Account","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
001j000000W5H0BAAV,"Account","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
001j000000W5NrkAAF,"Account","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
001j000000WJ86XAAT,"Account","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
001j000000WyHYpAAN,"Account","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
001j000000XkGhdAAF,"Account","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
