id,object,field,oldvalue,newvalue
00Tj000000aTlT6EAK,"Task","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
00Tj000000ZzwInEAJ,"Task","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
00Tj000000WyCd2EAF,"Task","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
00Tj000000Y9FEDEA3,"Task","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
00Tj000000YQ9YjEAL,"Task","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
00Tj000000Y6FsEEAV,"Task","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
00Tj000000Po79LEAR,"Task","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
00Tj000000LyXHvEAN,"Task","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
00Tj000000YhLtrEAF,"Task","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
00Tj000000a0wzFEAQ,"Task","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
00Tj000000a0xEyEAI,"Task","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
00Tj000000a7FcVEAU,"Task","OwnerId","005j000000C0bh6AAB","005j000000C0bh4AAB"
