id,object,field,oldvalue,newvalue
006j000000A2tp4AAB,"Opportunity","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
006j000000A2tpdAAB,"Opportunity","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
006j000000BgyEqAAJ,"Opportunity","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
006j000000A3aAxAAJ,"Opportunity","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
006j000000Dk3LSAAZ,"Opportunity","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
006j000000A2IT4AAN,"Opportunity","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
006j000000IQteyAAD,"Opportunity","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
006j000000A2tu9AAB,"Opportunity","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
006j000000A2tuVAAR,"Opportunity","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
006j000000A2tvOAAR,"Opportunity","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
006j000000A2tw2AAB,"Opportunity","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
006j000000A2tw3AAB,"Opportunity","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
006j000000A2tw5AAB,"Opportunity","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
006j000000A2tw6AAB,"Opportunity","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
006j000000A2tw9AAB,"Opportunity","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
006j000000A2twCAAR,"Opportunity","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
006j000000A2twVAAR,"Opportunity","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
006j000000A2twWAAR,"Opportunity","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
006j000000A2twXAAR,"Opportunity","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
006j000000A2twYAAR,"Opportunity","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
006j000000A2twZAAR,"Opportunity","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
006j000000A2twbAAB,"Opportunity","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
006j000000A2twfAAB,"Opportunity","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
006j000000A2twhAAB,"Opportunity","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
006j000000A2twjAAB,"Opportunity","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
006j000000A2twlAAB,"Opportunity","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
006j000000A2twnAAB,"Opportunity","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
006j000000A2twtAAB,"Opportunity","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
006j000000A2twzAAB,"Opportunity","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
006j000000A2tx0AAB,"Opportunity","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
006j000000A2tx1AAB,"Opportunity","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
006j000000A2tx2AAB,"Opportunity","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
006j000000A2tx3AAB,"Opportunity","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
006j000000A2tx4AAB,"Opportunity","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
006j000000A2tx5AAB,"Opportunity","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
006j000000A2tx7AAB,"Opportunity","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
006j000000A2tx8AAB,"Opportunity","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
006j000000A2tx9AAB,"Opportunity","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
006j000000A2txAAAR,"Opportunity","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
006j000000A2txBAAR,"Opportunity","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
006j000000A2txCAAR,"Opportunity","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
006j000000A2ttbAAB,"Opportunity","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
006j000000A2ttcAAB,"Opportunity","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
006j000000A2ttdAAB,"Opportunity","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
006j000000A2tteAAB,"Opportunity","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
006j000000A2tthAAB,"Opportunity","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
006j000000A2ttiAAB,"Opportunity","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
006j000000A2ttjAAB,"Opportunity","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
