id,object,field,oldvalue,newvalue
003j000000HQ1qKAAT,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
003j000000Yx16xAAB,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
003j000000Yx8ijAAB,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
003j000000ZoD7HAAV,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
003j000000E9tJkAAJ,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
003j000000HQ2TzAAL,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
003j000000E9A81AAF,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
003j000000UVVGcAAP,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
003j000000UUsoIAAT,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
003j000000UVaKYAA1,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
003j000000UVUpzAAH,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
003j000000E9pFlAAJ,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
003j000000EAH2SAAX,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
003j000000GA4WIAA1,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
003j000000GXobNAAT,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
003j000000HOPctAAH,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
003j000000HOPvCAAX,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
003j000000Hzx08AAB,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
003j000000HQ2QvAAL,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
003j000000HQ2reAAD,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
003j000000HQ2BTAA1,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
003j000000I2BecAAF,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
003j000000I0liVAAR,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
003j000000I0otEAAR,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
003j000000EA60nAAD,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
003j000000Yx7K3AAJ,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
003j000000ZlqrHAAR,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
003j000000IX4WHAA1,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
003j000000YwkzQAAR,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
003j000000YwXnYAAV,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
003j000000YwqbqAAB,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
003j000000YwOaQAAV,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
003j000000ZmJCFAA3,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
003j000000K4AQFAA3,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
003j000000IzQkoAAF,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
003j000000ZllQAAAZ,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
003j000000IhjjeAAB,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
003j000000K5LsnAAF,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
003j000000ZlqnyAAB,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
003j000000K4MxvAAF,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
003j000000ME7oZAAT,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
003j000000LOm28AAD,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
003j000000KVnPsAAL,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
003j000000K4GVTAA3,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
003j000000K5DyDAAV,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
003j000000Zmbc0AAB,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
003j000000bdOuyAAE,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
003j000000KVawQAAT,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
003j000000McubJAAR,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
003j000000MzMqwAAF,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
003j000000MEBRMAA5,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
003j000000LNxicAAD,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
003j000000cwhnlAAA,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
003j000000cvChVAAU,"Contact","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
