id,object,field,oldvalue,newvalue
001j000000YSdcmAAD,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000YFJSbAAP,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000YTKxgAAH,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000YhILOAA3,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000YSijeAAD,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000MW06nAAD,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000MV5ORAA1,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000YTKttAAH,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000YhHBaAAN,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000YhHLGAA3,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000YhcrQAAR,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000YUUNNAA5,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000YfXHZAA3,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000Yh3COAAZ,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000YhHHGAA3,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000Z2YNyAAN,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000MVDj4AAH,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000L3AMhAAN,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000MV5MBAA1,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000MvGcqAAF,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000MJF18AAH,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000MV5XrAAL,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000MXKqUAAX,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000MV6JQAA1,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000MW0NeAAL,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000NPkawAAD,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000MXKn6AAH,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000MW0TvAAL,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000MWW83AAH,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000MV5vOAAT,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000MV5JOAA1,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000NS062AAD,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000MV6TaAAL,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000MV8HEAA1,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000MWQKdAAP,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000KPzTqAAL,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000KOmzIAAT,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000NS0C1AAL,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000NPkReAAL,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000NPkTRAA1,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000NPkWpAAL,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000Z2XTuAAN,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000NR6IvAAL,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000ZyD1fAAF,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000KPnAjAAL,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000NPkXnAAL,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000NipZDAAZ,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000Z2RzcAAF,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000Z2WRpAAN,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000ZZQPoAAP,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000ZZQNWAA5,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000ZZV9OAAX,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000ZaAiSAAV,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000Z2ThQAAV,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000Z2dGtAAJ,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000ZDcQaAAL,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000ZDgYRAA1,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000NTnAlAAL,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000aYwLTAA0,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000ZZVH3AAP,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000ZyUFmAAN,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000ZaAmZAAV,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000ZtbiCAAR,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000aYyqXAAS,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000ZaAqlAAF,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000ZDdTXAA1,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000ZZQT7AAP,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000ZyCFuAAN,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000ZaAg2AAF,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000ZZVDBAA5,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000ZZVyfAAH,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000ZaZbEAAV,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000PiTXCAA3,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000PiTuwAAF,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000ZsawkAAB,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000R3pVnAAJ,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000R3pqkAAB,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000TwWRbAAN,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000UKbmkAAD,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000SoeH3AAJ,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000R2Zj3AAF,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000TzLHwAAN,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000UKXzdAAH,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000TCNuxAAH,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000R1tgoAAB,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000UKYKpAAP,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000TCeN6AAL,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000R1t9FAAR,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000UboxQAAR,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000R4GruAAF,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000RQT02AAH,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000TxmgmAAB,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000R3oHuAAJ,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000R4G6cAAF,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000Snn08AAB,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000R2bXrAAJ,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000Q0t1yAAB,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000UclGLAAZ,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000RRH2OAAX,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000TyCvfAAF,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000VN8pqAAD,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
001j000000bpelmAAA,"Account","OwnerId","005j000000C0bh5AAB","005j000000C0bh4AAB"
