id,object,field,oldvalue,newvalue
001j000000YUU72AAH,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000YUXjzAAH,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000YhIifAAF,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000YfWFrAAN,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000YUatXAAT,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000YVc0OAAT,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000YUbxNAAT,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000YUutwAAD,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000YfCCGAA3,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000YhHiwAAF,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000YfGVxAAN,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000YVHUnAAP,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000YfVZCAA3,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000YUZMAAA5,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000YUadBAAT,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000YUUVWAA5,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000YUVGXAA5,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000YfXWJAA3,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000YfVGXAA3,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000YUTJwAAP,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000YUcfmAAD,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000YhJFGAA3,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000YhR7rAAF,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000Z3vvfAAB,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000Yhby6AAB,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000Z2bqnAAB,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000S3m1UAAR,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000S3jxsAAB,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000Z2gKpAAJ,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000KzydAAAR,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000KzvQLAAZ,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000KzvRNAAZ,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000KzvSCAAZ,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000Z2irdAAB,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000Z2iA6AAJ,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000Z3v6pAAB,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000ZCelIAAT,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000a0OLPAA2,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000Pigl1AAB,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000Pic0tAAB,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000ZZtJkAAL,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000PpVseAAF,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000PphoOAAR,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000PpfwVAAR,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000PiON3AAN,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000OFgsSAAT,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000PpjL0AAJ,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000a0iBXAAY,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000PpeEIAAZ,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000PicmsAAB,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000PidcsAAB,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000a0D8nAAE,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000PpnLOAAZ,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000Q1ABCAA3,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000R3E9iAAF,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000Q2by6AAB,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000PrJBmAAN,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000Q1ALhAAN,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000Q2aj6AAB,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000PrIdmAAF,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000S2M3iAAF,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000S2bRgAAJ,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
001j000000PrInrAAF,"Account","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
