id,object,field,oldvalue,newvalue
006j000000A2ui9AAB,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2ui4AAB,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2ujNAAR,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2uahAAB,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2ueQAAR,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2ujEAAR,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2ujHAAR,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2uhcAAB,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2uhdAAB,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2uhoAAB,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2uhtAAB,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2uhuAAB,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2ui2AAB,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2ui3AAB,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2ui5AAB,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2ujLAAR,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2ujMAAR,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2ujSAAR,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2ujVAAR,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2ujeAAB,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2ujiAAB,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2uk0AAB,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2uk2AAB,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2uk8AAB,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2ukAAAR,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2ukBAAR,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2ukJAAR,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2ukLAAR,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2uiIAAR,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2uiOAAR,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2uiSAAR,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2uiqAAB,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2uadAAB,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2uaiAAB,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2uakAAB,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2uanAAB,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2uaoAAB,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2uawAAB,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2ub1AAB,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2ub3AAB,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000B2cm9AAB,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000Bi5a0AAB,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000B40YwAAJ,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2ubPAAR,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2ukTAAR,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2ukUAAR,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2ukcAAB,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2uaaAAB,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2uY3AAJ,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2ua9AAB,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2uaQAAR,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2uaWAAR,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2uaZAAR,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2uY0AAJ,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2uYgAAJ,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2uZEAAZ,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2uZ8AAJ,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2uZAAAZ,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2uZBAAZ,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2uZMAAZ,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2uZZAAZ,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2uZaAAJ,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2uZiAAJ,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2uZqAAJ,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2ud8AAB,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2ucuAAB,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2ud2AAB,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2ud6AAB,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2ud9AAB,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2udAAAR,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
006j000000A2udJAAR,"Opportunity","OwnerId","005j000000CKD2BAAX","005j000000C0bh4AAB"
